Fecha	SF235716
01/01/2003	122950.20
01/02/2003	123445.60
01/03/2003	122097.80
01/04/2003	121657.10
01/05/2003	121290.50
01/06/2003	120938.60
01/07/2003	117502.20
01/08/2003	117461.40
01/09/2003	117530.20
01/10/2003	116735.20
01/11/2003	116724.80
01/12/2003	116534.60
01/01/2004	116628.50
01/02/2004	116929.70
01/03/2004	117024.80
01/04/2004	117519.50
01/05/2004	117831.00
01/06/2004	117692.60
01/07/2004	118981.10
01/08/2004	119753.10
01/09/2004	119909.90
01/10/2004	121108.30
01/11/2004	122484.10
01/12/2004	123271.20
01/01/2005	123162.20
01/02/2005	124174.00
01/03/2005	125843.70
01/04/2005	129248.20
01/05/2005	132901.10
01/06/2005	135432.90
01/07/2005	138001.70
01/08/2005	134879.00
01/09/2005	141278.00
01/10/2005	145775.30
01/11/2005	151097.20
01/12/2005	169131.30
01/01/2006	175559.10
01/02/2006	178417.50
01/03/2006	188572.70
01/04/2006	195875.20
01/05/2006	200264.40
01/06/2006	202866.00
01/07/2006	209063.50
01/08/2006	212396.70
01/09/2006	220551.70
01/10/2006	224023.70
01/11/2006	224817.80
01/12/2006	230543.30
01/01/2007	220376.90
01/02/2007	232024.80
01/03/2007	237347.60
01/04/2007	242811.90
01/05/2007	245288.50
01/06/2007	251037.50
01/07/2007	257901.60
01/08/2007	263604.70
01/09/2007	268231.50
01/10/2007	267586.30
01/11/2007	274370.30
01/12/2007	275171.50
01/01/2008	279690.00
01/02/2008	282955.20
01/03/2008	283257.60
01/04/2008	286764.30
01/05/2008	290642.90
01/06/2008	294362.50
01/07/2008	298543.60
01/08/2008	297773.70
01/09/2008	300673.90
01/10/2008	305672.80
01/11/2008	309824.40
01/12/2008	306885.40
01/01/2009	311320.60
01/02/2009	312814.20
01/03/2009	316401.20
01/04/2009	317545.50
01/05/2009	319523.60
01/06/2009	321498.50
01/07/2009	323559.60
01/08/2009	318480.80
01/09/2009	322491.60
01/10/2009	325062.80
01/11/2009	325478.20
01/12/2009	330987.60
01/01/2010	335252.40
01/02/2010	337266.50
01/03/2010	339553.30
01/04/2010	341898.60
01/05/2010	344193.20
01/06/2010	346999.50
01/07/2010	350629.60
01/08/2010	352208.30
01/09/2010	354495.40
01/10/2010	357208.70
01/11/2010	363266.70
01/12/2010	368806.90
01/01/2011	363767.40
01/02/2011	365853.90
01/03/2011	370030.30
01/04/2011	372608.70
01/05/2011	392928.00
01/06/2011	395944.00
01/07/2011	397810.40
01/08/2011	400046.90
01/09/2011	403560.80
01/10/2011	406748.50
01/11/2011	411284.90
01/12/2011	415472.70
01/01/2012	419409.10
01/02/2012	421659.40
01/03/2012	426610.70
01/04/2012	427445.80
01/05/2012	431104.10
01/06/2012	434890.70
01/07/2012	437827.60
01/08/2012	440868.40
01/09/2012	445549.80
01/10/2012	447635.90
01/11/2012	451877.40
01/12/2012	456566.60
01/01/2013	461359.60
01/02/2013	458192.40
01/03/2013	463394.00
01/04/2013	465658.30
01/05/2013	470570.80
01/06/2013	470100.90
01/07/2013	474679.40
01/08/2013	479672.70
01/09/2013	483829.20
01/10/2013	485702.40
01/11/2013	492714.00
01/12/2013	507202.40
01/01/2014	511673.60
01/02/2014	514356.10
01/03/2014	522572.90
01/04/2014	524255.90
01/05/2014	530916.60
01/06/2014	533408.50
01/07/2014	532501.80
01/08/2014	537300.00
01/09/2014	542074.10
01/10/2014	546119.20
01/11/2014	552474.40
01/12/2014	556563.80
01/01/2015	563449.50
01/02/2015	564763.40
01/03/2015	571506.40
01/04/2015	575447.20
01/05/2015	580412.20
01/06/2015	585945.50
01/07/2015	591098.80
01/08/2015	595223.70
01/09/2015	601943.10
01/10/2015	607632.00
01/11/2015	613578.60
01/12/2015	619836.90
01/01/2016	626394.40
01/02/2016	628006.50
01/03/2016	633315.30
01/04/2016	637894.30
01/05/2016	646270.30
01/06/2016	650720.50
01/07/2016	657694.80
01/08/2016	661027.30
01/09/2016	667743.90
01/10/2016	672165.50
01/11/2016	679581.50
01/12/2016	686717.30
01/01/2017	692459.20
01/02/2017	695869.00
01/03/2017	703233.90
01/04/2017	705363.10
01/05/2017	710611.20
01/06/2017	714779.50
01/07/2017	720229.10
01/08/2017	724121.30
01/09/2017	730225.70
01/10/2017	733689.90
01/11/2017	740321.90
01/12/2017	744881.00
01/01/2018	748770.70
01/02/2018	752590.20
01/03/2018	758997.80
01/04/2018	763083.70
01/05/2018	770664.80
01/06/2018	776858.40
01/07/2018	783398.20
01/08/2018	788467.90
01/09/2018	797804.00
01/10/2018	803060.40
01/11/2018	811817.40
01/12/2018	817484.20
01/01/2019	822607.40
01/02/2019	827028.10
01/03/2019	837929.60
01/04/2019	841616.30
01/05/2019	851983.40
01/06/2019	859275.40
01/07/2019	867673.20
01/08/2019	875306.70
01/09/2019	882630.80
01/10/2019	889226.20
01/11/2019	899392.70
01/12/2019	904621.70
01/01/2020	908418.20
01/02/2020	913589.10
01/03/2020	919203.10
01/04/2020	922419.70
01/05/2020	930776.90
01/06/2020	936889.20
01/07/2020	946114.10
01/08/2020	950875.70
01/09/2020	960222.90
01/10/2020	968164.10
01/11/2020	975159.70
01/12/2020	982981.60
01/01/2021	986762.00
01/02/2021	990180.40
01/03/2021	997490.90
01/04/2021	1003091.40
01/05/2021	1012460.60
01/06/2021	1020533.80
01/07/2021	1032397.40
01/08/2021	1040228.90
01/09/2021	1051831.30
01/10/2021	1061249.90
01/11/2021	1070724.20
01/12/2021	1084224.50
01/01/2022	1088389.70
01/02/2022	1095271.40
01/03/2022	1107936.30
